Note,Length,Starting_Frame
C2,39,4645
C2,17,4865
C2,8,4908
C2,38,4921
C2,34,5142
C2,8,5185
C2,12,5198
C2,34,5211
C2,16,5419
C2,8,5531
C2,13,5544
C2,17,5694
C2,8,5807
C2,13,5820
C2,17,5971
C2,8,6015
C2,12,6028
C2,25,6042
C2,17,6249
C2,8,6293
C2,29,6306
C2,8,6336
C2,17,6525
C2,9,6568
C2,30,6581
C2,8,6612
C2,17,6802
C2,9,6845
C2,30,6858
C2,8,6889
C2,34,7079
C2,9,7122
C2,48,7135
C3,4,326
C3,4,335
C3,4,465
C3,4,473
C3,8,586
C3,4,603
C3,4,612
C3,4,742
C3,4,750
C3,8,862
C3,4,879
C3,4,888
C3,4,1018
C3,4,1026
C3,4,1156
C3,4,1165
C3,4,1295
C3,4,1303
C3,43,1398
C3,8,1563
C3,8,1839
C3,8,2117
C3,34,2134
C3,34,2169
C3,3,2402
C3,4,2410
C3,9,2522
C3,4,2540
C3,4,2548
C3,8,2557
C3,4,2678
C3,4,2687
C3,4,2817
C3,4,2825
C3,4,2955
C3,4,2964
C3,4,3094
C3,4,3102
C3,4,3231
C3,4,3240
C3,43,3335
C3,9,3499
C3,9,3776
C3,8,4052
C3,16,4070
C3,51,4087
C3,8,4329
C3,17,4346
C3,51,4364
C3,8,4606
C3,8,4882
C3,51,5159
C3,34,5228
C3,8,5436
C3,8,5712
C3,8,5989
C3,34,6006
C3,33,6042
C3,8,6267
C3,34,6284
C3,34,6319
C3,8,6543
C3,9,6819
C3,17,7096
C3,34,7114
C3,34,7166
C4,12,1057
C4,12,1334
C4,17,1666
C4,17,1943
C4,17,2799
C4,9,2825
C4,13,2994
C4,13,3270
C4,8,3603
C4,8,3612
C4,8,3880
C4,8,3889
C4,17,4597
C4,17,4623
C4,51,4641
C4,8,4693
C4,17,4873
C4,17,4899
C4,17,4917
C4,16,4943
C4,17,5540
C4,17,5816
C4,8,6534
C4,8,6543
C4,51,6560
C4,25,6612
C4,17,6811
C4,34,6837
C4,8,6880
C4,8,6889
C5,8,1735
C5,9,3672
C5,8,5608
D1,8,361
D1,9,499
D1,8,638
D1,9,776
D1,8,914
D1,9,1052
D1,8,1191
D1,9,1329
D1,8,1520
D1,12,1533
D1,17,1614
D1,17,1683
D1,9,1726
D1,13,1739
D1,8,1796
D1,12,1809
D1,17,1891
D1,17,1960
D1,9,2003
D1,12,2017
D1,9,2073
D1,13,2085
D1,17,2238
D1,8,2281
D1,13,2294
D1,17,2350
D1,17,2419
D1,8,2488
D1,8,2497
D1,8,2557
D1,8,2566
D1,17,2626
D1,16,2696
D1,17,2765
D1,8,2834
D1,8,2843
D1,17,2903
D1,17,2972
D1,17,3042
D1,8,3111
D1,8,3120
D1,8,3180
D1,8,3189
D1,17,3248
D1,25,3318
D1,8,3456
D1,13,3469
D1,17,3551
D1,17,3620
D1,8,3664
D1,12,3677
D1,8,3733
D1,13,3746
D1,17,3828
D1,17,3897
D1,8,3941
D1,12,3954
D1,8,4009
D1,13,4022
D1,17,4173
D1,8,4217
D1,12,4230
D1,8,4286
D1,12,4299
D1,17,4450
D1,8,4494
D1,12,4507
D1,8,4563
D1,12,4576
D1,17,4727
D1,9,4770
D1,13,4783
D1,8,4839
D1,12,4852
D1,17,5003
D1,9,5046
D1,13,5059
D1,8,5116
D1,12,5129
D1,69,5280
D1,8,5393
D1,12,5406
D1,17,5488
D1,17,5557
D1,8,5600
D1,13,5612
D1,9,5668
D1,13,5681
D1,17,5764
D1,17,5833
D1,8,5876
D1,13,5889
D1,9,5945
D1,13,5958
D1,18,6110
D1,8,6154
D1,13,6167
D1,9,6223
D1,13,6236
D1,16,6388
D1,8,6430
D1,13,6443
D1,9,6499
D1,13,6512
D1,17,6664
D1,8,6707
D1,13,6720
D1,8,6776
D1,13,6789
D1,17,6941
D1,8,6984
D1,12,6997
D1,8,7053
D1,13,7066
D1,69,7216
D1♭,16,1546
D1♭,8,1657
D1♭,12,1670
D1♭,16,1822
D1♭,8,1934
D1♭,12,1947
D1♭,16,2100
D1♭,8,2143
D1♭,12,2156
D1♭,16,2169
D1♭,16,2377
D1♭,17,2514
D1♭,16,2653
D1♭,16,2791
D1♭,16,2930
D1♭,16,3068
D1♭,17,3205
D1♭,68,3344
D1♭,17,3482
D1♭,8,3595
D1♭,12,3608
D1♭,17,3759
D1♭,8,3872
D1♭,12,3885
D1♭,17,4035
D1♭,8,4078
D1♭,30,4091
D1♭,17,4312
D1♭,8,4355
D1♭,12,4368
D1♭,17,4381
D1♭,16,4589
D1♭,8,4632
D1♭,12,4645
D1♭,17,4658
D1♭,16,4865
D1♭,8,4908
D1♭,12,4921
D1♭,17,4934
D1♭,34,5142
D1♭,8,5185
D1♭,12,5198
D1♭,34,5211
D1♭,16,5419
D1♭,8,5531
D1♭,12,5544
D1♭,16,5695
D1♭,8,5807
D1♭,12,5820
D1♭,16,5972
D1♭,8,6015
D1♭,12,6028
D1♭,16,6042
D1♭,16,6250
D1♭,8,6293
D1♭,12,6306
D1♭,16,6319
D1♭,16,6526
D1♭,7,6569
D1♭,12,6582
D1♭,16,6595
D1♭,17,6802
D1♭,7,6846
D1♭,12,6859
D1♭,16,6872
D1♭,34,7079
D1♭,7,7123
D1♭,12,7136
D1♭,33,7149
D2,8,249
D2,21,270
D2,17,344
D2,8,387
D2,12,409
